STATION,NAME,DATE,TAVG,TMAX,TMIN
US1GADK0049,"AVONDALE ESTATES 0.4 ESE, GA US",2020-01-02,,,
US1GACB0016,"MARIETTA 8.3 NE, GA US",2020-01-02,,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",2020-01-02,,,
US1GAFT0057,"ATLANTA 2.3 SE, GA US",2020-01-02,,,
US1GAFT0056,"ATLANTA 5.1 SE, GA US",2020-01-02,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2020-01-02,,,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2020-01-02,,47.0,41.0
US1GADK0013,"DECATUR 1.2 SE, GA US",2020-01-02,,,
US1GADK0033,"DECATUR 1.2 NE, GA US",2020-01-02,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",2020-01-02,,,
US1GADK0002,"TUCKER 2.3 W, GA US",2020-01-02,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2020-01-02,,50.0,46.0
US1GACB0037,"SMYRNA 0.4 NE, GA US",2020-01-02,,,
US1GAFT0005,"ATLANTA 3.7 N, GA US",2020-01-02,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",2020-01-02,,,
US1GACB0002,"SMYRNA 2.3 NE, GA US",2020-01-02,,,
US1GAFT0019,"EAST POINT 6.3 WNW, GA US",2020-01-02,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",2020-01-02,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",2020-01-03,,,
US1GADK0049,"AVONDALE ESTATES 0.4 ESE, GA US",2020-01-03,,,
US1GADK0001,"TUCKER 1.3 ENE, GA US",2020-01-03,,,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2020-01-03,,61.0,50.0
US1GAFT0005,"ATLANTA 3.7 N, GA US",2020-01-03,,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",2020-01-03,,,
US1GADK0013,"DECATUR 1.2 SE, GA US",2020-01-03,,,
USC00092753,"DORAVILLE 2 NNE, GA US",2020-01-03,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2020-01-03,,63.0,50.0
US1GACB0037,"SMYRNA 0.4 NE, GA US",2020-01-03,,,
US1GAFT0057,"ATLANTA 2.3 SE, GA US",2020-01-03,,,
US1GADK0041,"DECATUR 2.6 NE, GA US",2020-01-03,,,
US1GACB0016,"MARIETTA 8.3 NE, GA US",2020-01-03,,,
US1GAFT0019,"EAST POINT 6.3 WNW, GA US",2020-01-03,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",2020-01-03,,,
US1GAFT0056,"ATLANTA 5.1 SE, GA US",2020-01-03,,,
US1GACB0004,"SANDY SPRINGS 3.2 WNW, GA US",2020-01-03,,,
US1GADK0036,"DUNWOODY 1.2 SW, GA US",2020-01-03,,,
US1GADK0002,"TUCKER 2.3 W, GA US",2020-01-03,,,
US1GADK0032,"DECATUR 1.4 N, GA US",2020-01-03,,,
US1GACB0002,"SMYRNA 2.3 NE, GA US",2020-01-03,,,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2020-01-03,,57.0,47.0
US1GADK0033,"DECATUR 1.2 NE, GA US",2020-01-03,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",2020-01-03,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2020-01-03,,,
US1GAFT0048,"ROSWELL 5.9 SE, GA US",2020-01-03,,,
US1GAGW0056,"STONE MOUNTAIN 4.9 E, GA US",2020-01-03,,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",2020-01-04,,,
US1GACB0016,"MARIETTA 8.3 NE, GA US",2020-01-04,,,
US1GAFT0057,"ATLANTA 2.3 SE, GA US",2020-01-04,,,
US1GADK0046,"DECATUR 4.3 NNE, GA US",2020-01-04,,,
US1GAFT0056,"ATLANTA 5.1 SE, GA US",2020-01-04,,,
US1GACB0004,"SANDY SPRINGS 3.2 WNW, GA US",2020-01-04,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",2020-01-04,,,
US1GADK0013,"DECATUR 1.2 SE, GA US",2020-01-04,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",2020-01-04,,,
US1GAFT0019,"EAST POINT 6.3 WNW, GA US",2020-01-04,,,
US1GADK0036,"DUNWOODY 1.2 SW, GA US",2020-01-04,,,
US1GAFT0048,"ROSWELL 5.9 SE, GA US",2020-01-04,,,
US1GADK0033,"DECATUR 1.2 NE, GA US",2020-01-04,,,
US1GAGW0056,"STONE MOUNTAIN 4.9 E, GA US",2020-01-04,,,
US1GADK0032,"DECATUR 1.4 N, GA US",2020-01-04,,,
US1GADK0002,"TUCKER 2.3 W, GA US",2020-01-04,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",2020-01-04,,,
US1GADK0041,"DECATUR 2.6 NE, GA US",2020-01-04,,,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2020-01-04,,58.0,37.0
US1GACB0037,"SMYRNA 0.4 NE, GA US",2020-01-04,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2020-01-04,,59.0,37.0
US1GADK0001,"TUCKER 1.3 ENE, GA US",2020-01-04,,,
US1GADK0049,"AVONDALE ESTATES 0.4 ESE, GA US",2020-01-04,,,
US1GADK0051,"TUCKER 0.6 N, GA US",2020-01-04,,,
US1GAFT0005,"ATLANTA 3.7 N, GA US",2020-01-04,,,
USC00092753,"DORAVILLE 2 NNE, GA US",2020-01-04,,,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2020-01-04,,57.0,36.0
US1GACB0002,"SMYRNA 2.3 NE, GA US",2020-01-04,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2020-01-04,,,
US1GAFT0037,"ATLANTA 3.2 S, GA US",2020-01-05,,,
US1GADK0001,"TUCKER 1.3 ENE, GA US",2020-01-05,,,
US1GACB0002,"SMYRNA 2.3 NE, GA US",2020-01-05,,,
US1GADK0032,"DECATUR 1.4 N, GA US",2020-01-05,,,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2020-01-05,,51.0,30.0
US1GAFT0024,"ATLANTA 2.3 NE, GA US",2020-01-05,,,
US1GAFT0019,"EAST POINT 6.3 WNW, GA US",2020-01-05,,,
US1GADK0002,"TUCKER 2.3 W, GA US",2020-01-05,,,
US1GADK0049,"AVONDALE ESTATES 0.4 ESE, GA US",2020-01-05,,,
US1GADK0051,"TUCKER 0.6 N, GA US",2020-01-05,,,
US1GADK0046,"DECATUR 4.3 NNE, GA US",2020-01-05,,,
US1GAFT0005,"ATLANTA 3.7 N, GA US",2020-01-05,,,
US1GACB0016,"MARIETTA 8.3 NE, GA US",2020-01-05,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",2020-01-05,,,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2020-01-05,,54.0,32.0
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",2020-01-05,,,
US1GACB0037,"SMYRNA 0.4 NE, GA US",2020-01-05,,,
USC00092753,"DORAVILLE 2 NNE, GA US",2020-01-05,,,
US1GADK0013,"DECATUR 1.2 SE, GA US",2020-01-05,,,
US1GAFT0057,"ATLANTA 2.3 SE, GA US",2020-01-05,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2020-01-05,,55.0,32.0
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",2020-01-05,,,
US1GADK0036,"DUNWOODY 1.2 SW, GA US",2020-01-05,,,
US1GADK0033,"DECATUR 1.2 NE, GA US",2020-01-05,,,
US1GAFT0057,"ATLANTA 2.3 SE, GA US",2020-01-06,,,
US1GAGW0056,"STONE MOUNTAIN 4.9 E, GA US",2020-01-06,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2020-01-06,,63.0,38.0
US1GAFT0037,"ATLANTA 3.2 S, GA US",2020-01-06,,,
US1GADK0049,"AVONDALE ESTATES 0.4 ESE, GA US",2020-01-06,,,
US1GADK0051,"TUCKER 0.6 N, GA US",2020-01-06,,,
US1GADK0046,"DECATUR 4.3 NNE, GA US",2020-01-06,,,
US1GACB0002,"SMYRNA 2.3 NE, GA US",2020-01-06,,,
US1GADK0033,"DECATUR 1.2 NE, GA US",2020-01-06,,,
US1GAFT0005,"ATLANTA 3.7 N, GA US",2020-01-06,,,
US1GACB0016,"MARIETTA 8.3 NE, GA US",2020-01-06,,,
USC00092753,"DORAVILLE 2 NNE, GA US",2020-01-06,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",2020-01-06,,,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2020-01-06,,62.0,32.0
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",2020-01-06,,,
US1GACB0037,"SMYRNA 0.4 NE, GA US",2020-01-06,,,
US1GADK0009,"NORTH DECATUR 2.6 N, GA US",2020-01-06,,,
US1GAFT0019,"EAST POINT 6.3 WNW, GA US",2020-01-06,,,
US1GAFT0024,"ATLANTA 2.3 NE, GA US",2020-01-06,,,
US1GADK0002,"TUCKER 2.3 W, GA US",2020-01-06,,,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",2020-01-06,,59.0,32.0
US1GADK0013,"DECATUR 1.2 SE, GA US",2020-01-06,,,
US1GADK0032,"DECATUR 1.4 N, GA US",2020-01-06,,,
US1GADK0036,"DUNWOODY 1.2 SW, GA US",2020-01-06,,,
US1GAFT0048,"ROSWELL 5.9 SE, GA US",2020-01-06,,,
US1GAHY0007,"ELLENWOOD 2.5 NE, GA US",2020-01-07,,,
US1GADK0051,"TUCKER 0.6 N, GA US",2020-01-07,,,
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2020-01-07,,57.0,43.0
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",2020-01-07,,,
US1GADK0046,"DECATUR 4.3 NNE, GA US",2020-01-07,,,
US1GACB0004,"SANDY SPRINGS 3.2 WNW, GA US",2020-01-07,,,
US1GADK0013,"DECATUR 1.2 SE, GA US",2020-01-07,,,
US1GADK0001,"TUCKER 1.3 ENE, GA US",2020-01-07,,,
US1GACB0002,"SMYRNA 2.3 NE, GA US",2020-01-07,,,
USC00092753,"DORAVILLE 2 NNE, GA US",2020-01-07,,,
US1GACB0016,"MARIETTA 8.3 NE, GA US",2020-01-07,,,
US1GADK0036,"DUNWOODY 1.2 SW, GA US",2020-01-07,,,
US1GAFT0005,"ATLANTA 3.7 N, GA US",2020-01-07,,,
